,SPY
,close
time,
2020-05-22 00:00:00-04:00,295.42
2020-05-26 00:00:00-04:00,299.15
2020-05-27 00:00:00-04:00,303.48
2020-05-28 00:00:00-04:00,302.96
2020-05-29 00:00:00-04:00,304.16
2020-06-01 00:00:00-04:00,305.58
2020-06-02 00:00:00-04:00,308.13
2020-06-03 00:00:00-04:00,312.2117
2020-06-04 00:00:00-04:00,311.31
2020-06-05 00:00:00-04:00,319.27
2020-06-08 00:00:00-04:00,323.25
2020-06-09 00:00:00-04:00,320.81
2020-06-10 00:00:00-04:00,319.01
2020-06-11 00:00:00-04:00,300.62
2020-06-12 00:00:00-04:00,304.28
2020-06-15 00:00:00-04:00,307.03
2020-06-16 00:00:00-04:00,312.93
2020-06-17 00:00:00-04:00,311.56
2020-06-18 00:00:00-04:00,311.74
2020-06-19 00:00:00-04:00,308.56
2020-06-22 00:00:00-04:00,310.68
2020-06-23 00:00:00-04:00,312.03
2020-06-24 00:00:00-04:00,304.12
2020-06-25 00:00:00-04:00,307.31
2020-06-26 00:00:00-04:00,300.01
2020-06-29 00:00:00-04:00,304.43
2020-06-30 00:00:00-04:00,308.57
2020-07-01 00:00:00-04:00,310.57
2020-07-02 00:00:00-04:00,312.18
2020-07-06 00:00:00-04:00,316.99
2020-07-07 00:00:00-04:00,313.72
2020-07-08 00:00:00-04:00,316.12
2020-07-09 00:00:00-04:00,314.42
2020-07-10 00:00:00-04:00,317.61
2020-07-13 00:00:00-04:00,314.81
2020-07-14 00:00:00-04:00,318.89
2020-07-15 00:00:00-04:00,321.865
2020-07-16 00:00:00-04:00,320.76
2020-07-17 00:00:00-04:00,321.67
2020-07-20 00:00:00-04:00,324.36
2020-07-21 00:00:00-04:00,324.96
2020-07-22 00:00:00-04:00,326.82
2020-07-23 00:00:00-04:00,322.935
2020-07-24 00:00:00-04:00,320.86
2020-07-27 00:00:00-04:00,323.18
2020-07-28 00:00:00-04:00,321.2
2020-07-29 00:00:00-04:00,325.09
2020-07-30 00:00:00-04:00,323.98
2020-07-31 00:00:00-04:00,326.55
2020-08-03 00:00:00-04:00,328.76
2020-08-04 00:00:00-04:00,330.03
2020-08-05 00:00:00-04:00,332.06
2020-08-06 00:00:00-04:00,334.31
2020-08-07 00:00:00-04:00,334.55
2020-08-10 00:00:00-04:00,335.55
2020-08-11 00:00:00-04:00,332.82
2020-08-12 00:00:00-04:00,337.42
2020-08-13 00:00:00-04:00,336.86
2020-08-14 00:00:00-04:00,336.86
2020-08-17 00:00:00-04:00,337.88
2020-08-18 00:00:00-04:00,338.62
2020-08-19 00:00:00-04:00,337.22
2020-08-20 00:00:00-04:00,338.25
2020-08-21 00:00:00-04:00,339.44
2020-08-24 00:00:00-04:00,342.94
2020-08-25 00:00:00-04:00,344.0999
2020-08-26 00:00:00-04:00,347.56
2020-08-27 00:00:00-04:00,348.29
2020-08-28 00:00:00-04:00,350.54
2020-08-31 00:00:00-04:00,349.34
2020-09-01 00:00:00-04:00,352.56
2020-09-02 00:00:00-04:00,357.68
2020-09-03 00:00:00-04:00,345.41
2020-09-04 00:00:00-04:00,342.6
2020-09-08 00:00:00-04:00,333.26
2020-09-09 00:00:00-04:00,339.76
2020-09-10 00:00:00-04:00,333.92
2020-09-11 00:00:00-04:00,334.08
2020-09-14 00:00:00-04:00,338.42
2020-09-15 00:00:00-04:00,340.15
2020-09-16 00:00:00-04:00,338.81
2020-09-17 00:00:00-04:00,335.86
2020-09-18 00:00:00-04:00,330.69
2020-09-21 00:00:00-04:00,327.0
2020-09-22 00:00:00-04:00,330.33
2020-09-23 00:00:00-04:00,322.66
2020-09-24 00:00:00-04:00,323.52
